requestData	examination_paper	resultData	开始时间	结束时间	运行时间
{'examinationPaper': '物理试题1 探究串联电路中各处电流的关系', 'answerDict': {'1': '0.23', '2': '0.22', '3': '0.25', '4': '相等'}}	物理试题1 探究串联电路中各处电流的关系	{'examinationPaper': '物理试题1 探究串联电路中各处电流的关系', 'answerDict': {'1': 0.23, '2': 0.22, '3': 0.25, '4': '相等'}, 'result': {'1': {'judge': '错误', 'score': '0分', 'analysis': '串联电路中的各处电流相等。'}, '2': {'judge': '错误', 'score': '0分', 'analysis': '串联电路中的各处电流相等。'}, '3': {'judge': '错误', 'score': '0分', 'analysis': '串联电路中的各处电流相等。'}, '4': {'judge': '正确', 'score': '1分', 'analysis': '串联电路中的各处电流相等。'}}, 'scoreStrategy': {'score_point_1': {'score': '0分', 'instructions': '正确读出相应的电流表示数并记录表格中得1分。', 'gap': [1, 2, 3]}, 'score_point_2': {'score': '1分', 'instructions': '得出正确结论得1分。', 'gap': [4]}}}	2022-07-01 14:36:19.575679	2022-07-01 14:36:19.690372	0:00:00.114693
{'examinationPaper': '物理试题2 探究串联电路中用电器两端的电压与电源两端电压的关系', 'answerDict': {'1': '1.7', '2': '0.8', '3': '2.5', '4': '等于'}}	物理试题2 探究串联电路中用电器两端的电压与电源两端电压的关系	{'examinationPaper': '物理试题2 探究串联电路中用电器两端的电压与电源两端电压的关系', 'answerDict': {'1': 1.7, '2': 0.8, '3': 2.5, '4': '等于'}, 'result': {'1': {'judge': '正确', 'score': '1分', 'analysis': '串联电路中用电器两端的电压之和等于电源两端的电压。'}, '2': {'judge': '正确', 'score': '1分', 'analysis': '串联电路中用电器两端的电压之和等于电源两端的电压。'}, '3': {'judge': '正确', 'score': '1分', 'analysis': '串联电路中用电器两端的电压之和等于电源两端的电压。'}, '4': {'judge': '正确', 'score': '1分', 'analysis': '串联电路中用电器两端的电压之和等于电源两端的电压。'}}, 'scoreStrategy': {'score_point_1': {'score': '1分', 'instructions': '正确读出相应的电压表示数并记录表格中得1分。', 'gap': [1, 2, 3]}, 'score_point_2': {'score': '1分', 'instructions': '得出正确结论得1分。', 'gap': [4]}}}	2022-07-01 14:36:19.690372	2022-07-01 14:36:19.696356	0:00:00.005984
{'examinationPaper': '物理试题3 测量小灯泡的额定功率', 'answerDict': {'1': '0.59', '2': '1.485'}}	物理试题3 测量小灯泡的额定功率	{'examinationPaper': '物理试题3 测量小灯泡的额定功率', 'answerDict': {'1': 0.59, '2': 1.49}, 'result': {'1': {'judge': '正确', 'score': '1分', 'analysis': '功率等于电压乘以电流。'}, '2': {'judge': '正确', 'score': '1分', 'analysis': '功率等于电压乘以电流。'}}, 'scoreStrategy': {'score_point_1': {'score': '1分', 'instructions': '正确读出相应的电流表示数并记录表格中得1分。', 'gap': [1]}, 'score_point_2': {'score': '1分', 'instructions': '正确计算小灯泡的额定功率并记录表格中得1分。', 'gap': [2]}}}	2022-07-01 14:36:19.696356	2022-07-01 14:36:19.701343	0:00:00.004987
{'examinationPaper': '物理试题4 探究电磁铁的磁性强弱与电流大小的关系', 'answerDict': {'1': '0.4', '2': '18', '3': '弱', '4': '0.6', '5': '60', '6': '强', '7': '呛大'}}	物理试题4 探究电磁铁的磁性强弱与电流大小的关系	{'examinationPaper': '物理试题4 探究电磁铁的磁性强弱与电流大小的关系', 'answerDict': {'1': 0.4, '2': 18, '3': '弱', '4': 0.6, '5': 60, '6': '强', '7': '呛大'}, 'result': {'1': {'judge': '正确', 'score': '1分', 'analysis': '相同的电磁铁，通过的电流越强，它的磁性越强。'}, '2': {'judge': '正确', 'score': '1分', 'analysis': '相同的电磁铁，通过的电流越强，它的磁性越强。'}, '3': {'judge': '正确', 'score': '1分', 'analysis': '相同的电磁铁，通过的电流越强，它的磁性越强。'}, '4': {'judge': '正确', 'score': '1分', 'analysis': '相同的电磁铁，通过的电流越强，它的磁性越强。'}, '5': {'judge': '正确', 'score': '1分', 'analysis': '相同的电磁铁，通过的电流越强，它的磁性越强。'}, '6': {'judge': '正确', 'score': '1分', 'analysis': '相同的电磁铁，通过的电流越强，它的磁性越强。'}, '7': {'judge': '错误', 'score': '0分', 'analysis': '相同的电磁铁，通过的电流越强，它的磁性越强。'}}, 'scoreStrategy': {'score_point_1': {'score': '1分', 'instructions': '闭合开关，调节滑动变阻器的滑片到合适的位置，正确读出相应的电流表示数记入表格中得1分。', 'gap': [1]}, 'score_point_2': {'score': '1分', 'instructions': '数出电磁铁吸引大头针的个数，记入表格中得1分。', 'gap': [2]}, 'score_point_3': {'score': '1分', 'instructions': '调节滑动变阻器的滑片，改变电流的大小，再次读出相应的电流表示数并数出电磁铁吸引大头针的个数，记入表格中得1分。', 'gap': [4, 5]}, 'score_point_4': {'score': '1分', 'instructions': '能根据电磁铁吸引大头针数目的多少判断出电磁铁磁性的强弱，填入表格中得1分。', 'gap': [3, 6]}, 'score_point_5': {'score': '0分', 'instructions': '得出正确结论得1分。', 'gap': [7]}}}	2022-07-01 14:36:19.701343	2022-07-01 14:36:20.169092	0:00:00.467749
{'examinationPaper': '物理试题5 探究光反射时的规律', 'answerDict': {'1': '10', '2': '10', '3': '20度', '4': '20度', '5': '40', '6': '40', '7': '='}}	物理试题5 探究光反射时的规律	{'examinationPaper': '物理试题5 探究光反射时的规律', 'answerDict': {'1': 10.0, '2': 10.0, '3': 20.0, '4': 20.0, '5': 40.0, '6': 40.0, '7': '='}, 'result': {'1': {'judge': '正确', 'score': '1分', 'analysis': '在光的反射现象中，光的反射角等于入射角。'}, '2': {'judge': '正确', 'score': '1分', 'analysis': '在光的反射现象中，光的反射角等于入射角。'}, '3': {'judge': '正确', 'score': '1分', 'analysis': '在光的反射现象中，光的反射角等于入射角。'}, '4': {'judge': '正确', 'score': '1分', 'analysis': '在光的反射现象中，光的反射角等于入射角。'}, '5': {'judge': '正确', 'score': '1分', 'analysis': '在光的反射现象中，光的反射角等于入射角。'}, '6': {'judge': '正确', 'score': '1分', 'analysis': '在光的反射现象中，光的反射角等于入射角。'}, '7': {'judge': '正确', 'score': '1分', 'analysis': '在光的反射现象中，光的反射角等于入射角。'}}, 'scoreStrategy': {'score_point_1': {'score': '1分', 'instructions': '正确记录入射角、反射角得1分。', 'gap': [1, 2, 3, 4, 5, 6]}, 'score_point_2': {'score': '1分', 'instructions': '得出正确结论得1分。', 'gap': [7]}}}	2022-07-01 14:36:20.169092	2022-07-01 14:36:20.176073	0:00:00.006981
{'examinationPaper': '物理试题6 探究平面镜成像时像与物的关系', 'answerDict': {'1': '7.1', '2': '7.1', '3': '相等', '4': '7.3', '5': '7.3', '6': '相等', '7': '相等', '8': '相等'}}	物理试题6 探究平面镜成像时像与物的关系	{'examinationPaper': '物理试题6 探究平面镜成像时像与物的关系', 'answerDict': {'1': 7.1, '2': 7.1, '3': '相等', '4': 7.3, '5': 7.3, '6': '相等', '7': '相等', '8': '相等'}, 'result': {'1': {'judge': '正确', 'score': '1分', 'analysis': '平面镜成像的像和物的大小相等，像和物体到平面镜的距离相等。'}, '2': {'judge': '正确', 'score': '1分', 'analysis': '平面镜成像的像和物的大小相等，像和物体到平面镜的距离相等。'}, '3': {'judge': '正确', 'score': '1分', 'analysis': '平面镜成像的像和物的大小相等，像和物体到平面镜的距离相等。'}, '4': {'judge': '正确', 'score': '1分', 'analysis': '平面镜成像的像和物的大小相等，像和物体到平面镜的距离相等。'}, '5': {'judge': '正确', 'score': '1分', 'analysis': '平面镜成像的像和物的大小相等，像和物体到平面镜的距离相等。'}, '6': {'judge': '正确', 'score': '1分', 'analysis': '平面镜成像的像和物的大小相等，像和物体到平面镜的距离相等。'}, '7': {'judge': '正确', 'score': '1分', 'analysis': '平面镜成像的像和物的大小相等，像和物体到平面镜的距离相等。'}, '8': {'judge': '正确', 'score': '1分', 'analysis': '平面镜成像的像和物的大小相等，像和物体到平面镜的距离相等。'}}, 'scoreStrategy': {'score_point_1': {'score': '1分', 'instructions': '分别量出蜡烛到镜面的距离并正确记录表格中得1分。', 'gap': [1, 4]}, 'score_point_2': {'score': '1分', 'instructions': '分别量出蜡烛的像到镜面的距离并正确记录表格中得1分。', 'gap': [2, 5]}, 'score_point_3': {'score': '1分', 'instructions': '得出正确结论得1分。', 'gap': [3, 6, 7, 8]}}}	2022-07-01 14:36:20.176073	2022-07-01 14:36:20.606694	0:00:00.430621
{'examinationPaper': '物理试题7 探究凸透镜成像的规律', 'answerDict': {'1': '35', '2': '倒立', '3': '缩小', '4': '实像', '5': '16', '6': '30', '7': '倒立', '8': '缩小', '9': '实像', '10': '16.7', '11': '16', '12': '倒立', '13': '放大', '14': '实像', '15': '35', '16': '18', '17': '倒立', '18': '放大', '19': '实像', '20': '30', '21': '倒立缩小的实像', '22': '倒立放大的实像'}}	物理试题7 探究凸透镜成像的规律	{'examinationPaper': '物理试题7 探究凸透镜成像的规律', 'answerDict': {'1': 35.0, '2': '倒立', '3': '缩小', '4': '实像', '5': 16.0, '6': 30.0, '7': '倒立', '8': '缩小', '9': '实像', '10': 16.7, '11': 16.0, '12': '倒立', '13': '放大', '14': '实像', '15': 35.0, '16': 18.0, '17': '倒立', '18': '放大', '19': '实像', '20': 30.0, '21': '倒立缩小的实像', '22': '倒立放大的实像'}, 'result': {'1': {'judge': '正确', 'score': '1分', 'analysis': '凸透镜焦距为f，物体到凸透镜的物距为u，光屏到凸透镜的像距为v。如果u>2f,f<v<2f,光屏成倒立缩写的实像；如果如果0<u<2f,v>2f,光屏成倒立放大的实像。'}, '2': {'judge': '正确', 'score': '1分', 'analysis': '凸透镜焦距为f，物体到凸透镜的物距为u，光屏到凸透镜的像距为v。如果u>2f,f<v<2f,光屏成倒立缩写的实像；如果如果0<u<2f,v>2f,光屏成倒立放大的实像。'}, '3': {'judge': '正确', 'score': '1分', 'analysis': '凸透镜焦距为f，物体到凸透镜的物距为u，光屏到凸透镜的像距为v。如果u>2f,f<v<2f,光屏成倒立缩写的实像；如果如果0<u<2f,v>2f,光屏成倒立放大的实像。'}, '4': {'judge': '正确', 'score': '1分', 'analysis': '凸透镜焦距为f，物体到凸透镜的物距为u，光屏到凸透镜的像距为v。如果u>2f,f<v<2f,光屏成倒立缩写的实像；如果如果0<u<2f,v>2f,光屏成倒立放大的实像。'}, '5': {'judge': '正确', 'score': '1分', 'analysis': '凸透镜焦距为f，物体到凸透镜的物距为u，光屏到凸透镜的像距为v。如果u>2f,f<v<2f,光屏成倒立缩写的实像；如果如果0<u<2f,v>2f,光屏成倒立放大的实像。'}, '6': {'judge': '正确', 'score': '1分', 'analysis': '凸透镜焦距为f，物体到凸透镜的物距为u，光屏到凸透镜的像距为v。如果u>2f,f<v<2f,光屏成倒立缩写的实像；如果如果0<u<2f,v>2f,光屏成倒立放大的实像。'}, '7': {'judge': '正确', 'score': '1分', 'analysis': '凸透镜焦距为f，物体到凸透镜的物距为u，光屏到凸透镜的像距为v。如果u>2f,f<v<2f,光屏成倒立缩写的实像；如果如果0<u<2f,v>2f,光屏成倒立放大的实像。'}, '8': {'judge': '正确', 'score': '1分', 'analysis': '凸透镜焦距为f，物体到凸透镜的物距为u，光屏到凸透镜的像距为v。如果u>2f,f<v<2f,光屏成倒立缩写的实像；如果如果0<u<2f,v>2f,光屏成倒立放大的实像。'}, '9': {'judge': '正确', 'score': '1分', 'analysis': '凸透镜焦距为f，物体到凸透镜的物距为u，光屏到凸透镜的像距为v。如果u>2f,f<v<2f,光屏成倒立缩写的实像；如果如果0<u<2f,v>2f,光屏成倒立放大的实像。'}, '10': {'judge': '正确', 'score': '1分', 'analysis': '凸透镜焦距为f，物体到凸透镜的物距为u，光屏到凸透镜的像距为v。如果u>2f,f<v<2f,光屏成倒立缩写的实像；如果如果0<u<2f,v>2f,光屏成倒立放大的实像。'}, '11': {'judge': '正确', 'score': '1分', 'analysis': '凸透镜焦距为f，物体到凸透镜的物距为u，光屏到凸透镜的像距为v。如果u>2f,f<v<2f,光屏成倒立缩写的实像；如果如果0<u<2f,v>2f,光屏成倒立放大的实像。'}, '12': {'judge': '正确', 'score': '1分', 'analysis': '凸透镜焦距为f，物体到凸透镜的物距为u，光屏到凸透镜的像距为v。如果u>2f,f<v<2f,光屏成倒立缩写的实像；如果如果0<u<2f,v>2f,光屏成倒立放大的实像。'}, '13': {'judge': '正确', 'score': '1分', 'analysis': '凸透镜焦距为f，物体到凸透镜的物距为u，光屏到凸透镜的像距为v。如果u>2f,f<v<2f,光屏成倒立缩写的实像；如果如果0<u<2f,v>2f,光屏成倒立放大的实像。'}, '14': {'judge': '正确', 'score': '1分', 'analysis': '凸透镜焦距为f，物体到凸透镜的物距为u，光屏到凸透镜的像距为v。如果u>2f,f<v<2f,光屏成倒立缩写的实像；如果如果0<u<2f,v>2f,光屏成倒立放大的实像。'}, '15': {'judge': '正确', 'score': '1分', 'analysis': '凸透镜焦距为f，物体到凸透镜的物距为u，光屏到凸透镜的像距为v。如果u>2f,f<v<2f,光屏成倒立缩写的实像；如果如果0<u<2f,v>2f,光屏成倒立放大的实像。'}, '16': {'judge': '正确', 'score': '1分', 'analysis': '凸透镜焦距为f，物体到凸透镜的物距为u，光屏到凸透镜的像距为v。如果u>2f,f<v<2f,光屏成倒立缩写的实像；如果如果0<u<2f,v>2f,光屏成倒立放大的实像。'}, '17': {'judge': '正确', 'score': '1分', 'analysis': '凸透镜焦距为f，物体到凸透镜的物距为u，光屏到凸透镜的像距为v。如果u>2f,f<v<2f,光屏成倒立缩写的实像；如果如果0<u<2f,v>2f,光屏成倒立放大的实像。'}, '18': {'judge': '正确', 'score': '1分', 'analysis': '凸透镜焦距为f，物体到凸透镜的物距为u，光屏到凸透镜的像距为v。如果u>2f,f<v<2f,光屏成倒立缩写的实像；如果如果0<u<2f,v>2f,光屏成倒立放大的实像。'}, '19': {'judge': '正确', 'score': '1分', 'analysis': '凸透镜焦距为f，物体到凸透镜的物距为u，光屏到凸透镜的像距为v。如果u>2f,f<v<2f,光屏成倒立缩写的实像；如果如果0<u<2f,v>2f,光屏成倒立放大的实像。'}, '20': {'judge': '正确', 'score': '1分', 'analysis': '凸透镜焦距为f，物体到凸透镜的物距为u，光屏到凸透镜的像距为v。如果u>2f,f<v<2f,光屏成倒立缩写的实像；如果如果0<u<2f,v>2f,光屏成倒立放大的实像。'}, '21': {'judge': '正确', 'score': '1分', 'analysis': '凸透镜焦距为f，物体到凸透镜的物距为u，光屏到凸透镜的像距为v。如果u>2f,f<v<2f,光屏成倒立缩写的实像；如果如果0<u<2f,v>2f,光屏成倒立放大的实像。'}, '22': {'judge': '正确', 'score': '1分', 'analysis': '凸透镜焦距为f，物体到凸透镜的物距为u，光屏到凸透镜的像距为v。如果u>2f,f<v<2f,光屏成倒立缩写的实像；如果如果0<u<2f,v>2f,光屏成倒立放大的实像。'}}, 'scoreStrategy': {'score_point_1': {'score': '1分', 'instructions': '物距u>2f时，正确记录像的性质、物距、像距于表格中得1分。', 'gap': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]}, 'score_point_2': {'score': '1分', 'instructions': '物距f<u<2f时，正确记录像的性质、物距、像距于表格中得1分。', 'gap': [11, 12, 13, 14, 15, 16, 17, 18, 19, 20]}, 'score_point_3': {'score': '1分', 'instructions': '得出正确结论得1分。', 'gap': [21, 22]}}}	2022-07-01 14:36:20.606694	2022-07-01 14:36:20.850045	0:00:00.243351
{'examinationPaper': '物理试题8 探究水沸腾时温度变化的特点', 'answerDict': {'1': '从0到100', '2': '1', '3': '90', '4': '92', '5': '95', '6': '98', '7': '100', '8': '100', '9': '100', '10': '100', '11': '100', '12': '100', '13': '100', '14': '水沸腾，温度不变', '15': '[{""index"":3,""x"":0,""y"":90},{""index"":4,""x"":0.5,""y"":91.4},{""index"":5,""x"":1,""y"":94},{""index"":6,""x"":1.5,""y"":97.6},{""index"":7,""x"":2,""y"":99.6},{""index"":8,""x"":2.5,""y"":99.8},{""index"":9,""x"":3,""y"":99.8},{""index"":10,""x"":3.5,""y"":99.8},{""index"":11,""x"":4,""y"":99.8},{""index"":12,""x"":4.5,""y"":99.8},{""index"":13,""x"":5,""y"":99.9}]'}}	物理试题8 探究水沸腾时温度变化的特点	{'examinationPaper': '物理试题8 探究水沸腾时温度变化的特点', 'answerDict': {'1': '从0到100', '2': '1', '3': 90.0, '4': 92.0, '5': 95.0, '6': 98.0, '7': 100.0, '8': 100.0, '9': 100.0, '10': 100.0, '11': 100.0, '12': 100.0, '13': 100.0, '14': '水沸腾，温度不变', '15': '[{""index"":3,""x"":0,""y"":90},{""index"":4,""x"":0.5,""y"":91.4},{""index"":5,""x"":1,""y"":94},{""index"":6,""x"":1.5,""y"":97.6},{""index"":7,""x"":2,""y"":99.6},{""index"":8,""x"":2.5,""y"":99.8},{""index"":9,""x"":3,""y"":99.8},{""index"":10,""x"":3.5,""y"":99.8},{""index"":11,""x"":4,""y"":99.8},{""index"":12,""x"":4.5,""y"":99.8},{""index"":13,""x"":5,""y"":99.9}]'}, 'result': {'1': {'judge': '正确', 'score': '1分', 'analysis': '水沸腾时，温度变化的特定是保持不变。'}, '2': {'judge': '正确', 'score': '1分', 'analysis': '水沸腾时，温度变化的特定是保持不变。'}, '3': {'judge': '正确', 'score': '1分', 'analysis': '水沸腾时，温度变化的特定是保持不变。'}, '4': {'judge': '正确', 'score': '1分', 'analysis': '水沸腾时，温度变化的特定是保持不变。'}, '5': {'judge': '正确', 'score': '1分', 'analysis': '水沸腾时，温度变化的特定是保持不变。'}, '6': {'judge': '正确', 'score': '1分', 'analysis': '水沸腾时，温度变化的特定是保持不变。'}, '7': {'judge': '正确', 'score': '1分', 'analysis': '水沸腾时，温度变化的特定是保持不变。'}, '8': {'judge': '正确', 'score': '1分', 'analysis': '水沸腾时，温度变化的特定是保持不变。'}, '9': {'judge': '正确', 'score': '1分', 'analysis': '水沸腾时，温度变化的特定是保持不变。'}, '10': {'judge': '正确', 'score': '1分', 'analysis': '水沸腾时，温度变化的特定是保持不变。'}, '11': {'judge': '正确', 'score': '1分', 'analysis': '水沸腾时，温度变化的特定是保持不变。'}, '12': {'judge': '正确', 'score': '1分', 'analysis': '水沸腾时，温度变化的特定是保持不变。'}, '13': {'judge': '正确', 'score': '1分', 'analysis': '水沸腾时，温度变化的特定是保持不变。'}, '14': {'judge': '正确', 'score': '1分', 'analysis': '水沸腾时，温度变化的特定是保持不变。'}, '15': {'judge': '错误', 'score': '0分', 'analysis': '水沸腾时，温度变化的特定是保持不变。'}}, 'scoreStrategy': {'score_point_1': {'score': '1分', 'instructions': '观察温度计的量程和分度值并正确记录表格中得1分。', 'gap': [1, 2]}, 'score_point_2': {'score': '1分', 'instructions': '每隔0.5min正确记一次温度值于表格中得1分。', 'gap': [3, 4, 5, 6, 7, 8]}, 'score_point_3': {'score': '0分', 'instructions': '正确绘制温度变化图象得1分。', 'gap': [15]}, 'score_point_4': {'score': '1分', 'instructions': '得出正确结论得1分。', 'gap': [14]}}}	2022-07-01 14:36:20.850045	2022-07-01 14:36:21.513269	0:00:00.663224
{'examinationPaper': '物理试题9 测量蜡块的密度', 'answerDict': {'1': '99', '2': '88', '3': '89', '4': '1', '5': '0.9'}}	物理试题9 测量蜡块的密度	{'examinationPaper': '物理试题9 测量蜡块的密度', 'answerDict': {'1': 99.0, '2': 88.0, '3': 89.0, '4': 1.0, '5': 0.9}, 'result': {'1': {'judge': '正确', 'score': '1分', 'analysis': '密度等于质量除以体积。'}, '2': {'judge': '正确', 'score': '1分', 'analysis': '密度等于质量除以体积。'}, '3': {'judge': '正确', 'score': '1分', 'analysis': '密度等于质量除以体积。'}, '4': {'judge': '正确', 'score': '1分', 'analysis': '密度等于质量除以体积。'}, '5': {'judge': '错误', 'score': '0分', 'analysis': '密度等于质量除以体积。'}}, 'scoreStrategy': {'score_point_1': {'score': '1分', 'instructions': '测出蜡块的质量并正确记录于表格中得1分。', 'gap': [1]}, 'score_point_2': {'score': '1分', 'instructions': '测出量筒中水的体积并正确记录于表格中得1分。', 'gap': [2]}, 'score_point_3': {'score': '1分', 'instructions': '测出蜡块和水的总体积并记入表格中得1分。', 'gap': [3]}, 'score_point_4': {'score': '0分', 'instructions': '正确计算蜡块体积和密度，并记入表格中得1分。', 'gap': [4, 5]}}}	2022-07-01 14:36:21.513269	2022-07-01 14:36:21.524240	0:00:00.010971
{'examinationPaper': '物理试题10 探究滑动摩擦力大小与接触面粗糙程度的关系', 'answerDict': {'1': '0~2.5', '2': '0.05牛', '3': '0.5', '4': '0.8', '5': '高'}}	物理试题10 探究滑动摩擦力大小与接触面粗糙程度的关系	{'examinationPaper': '物理试题10 探究滑动摩擦力大小与接触面粗糙程度的关系', 'answerDict': {'1': '0~2.5', '2': '0.05牛', '3': 0.5, '4': 0.8, '5': '高'}, 'result': {'1': {'judge': '正确', 'score': '1分', 'analysis': '压力一定时，接触面越粗糙，滑动摩擦力越大。'}, '2': {'judge': '正确', 'score': '1分', 'analysis': '压力一定时，接触面越粗糙，滑动摩擦力越大。'}, '3': {'judge': '正确', 'score': '1分', 'analysis': '压力一定时，接触面越粗糙，滑动摩擦力越大。'}, '4': {'judge': '正确', 'score': '1分', 'analysis': '压力一定时，接触面越粗糙，滑动摩擦力越大。'}, '5': {'judge': '正确', 'score': '1分', 'analysis': '压力一定时，接触面越粗糙，滑动摩擦力越大。'}}, 'scoreStrategy': {'score_point_1': {'score': '1分', 'instructions': '正确记录量程和分度值于表格中得1分。', 'gap': [1, 2]}, 'score_point_2': {'score': '1分', 'instructions': '正确记录木块与桌面之间的摩擦力于表格中得1分。', 'gap': [3]}, 'score_point_3': {'score': '1分', 'instructions': '正确记录木块与毛巾之间的摩擦力于表格中得1分。', 'gap': [4]}, 'score_point_4': {'score': '1分', 'instructions': '实验结论正确得1分。', 'gap': [5]}}}	2022-07-01 14:36:21.524240	2022-07-01 14:36:21.979023	0:00:00.454783
{'examinationPaper': '物理试题11 探究杠杆的平衡条件', 'answerDict': {'1': '0.5', '2': '10', '3': '5', '4': '1', '5': '5', '6': '5', '7': '1.5', '8': '10', '9': '15', '10': '1', '11': '15', '12': '15', '13': '='}}	物理试题11 探究杠杆的平衡条件	{'examinationPaper': '物理试题11 探究杠杆的平衡条件', 'answerDict': {'1': 0.5, '2': 10.0, '3': 5.0, '4': 1.0, '5': 5.0, '6': 5.0, '7': 1.5, '8': 10.0, '9': 15.0, '10': 1.0, '11': 15.0, '12': 15.0, '13': '='}, 'result': {'1': {'judge': '正确', 'score': '1分', 'analysis': '动力乘以动力臂等于阻力乘以阻力臂。'}, '2': {'judge': '正确', 'score': '1分', 'analysis': '动力乘以动力臂等于阻力乘以阻力臂。'}, '3': {'judge': '正确', 'score': '1分', 'analysis': '动力乘以动力臂等于阻力乘以阻力臂。'}, '4': {'judge': '正确', 'score': '1分', 'analysis': '动力乘以动力臂等于阻力乘以阻力臂。'}, '5': {'judge': '正确', 'score': '1分', 'analysis': '动力乘以动力臂等于阻力乘以阻力臂。'}, '6': {'judge': '正确', 'score': '1分', 'analysis': '动力乘以动力臂等于阻力乘以阻力臂。'}, '7': {'judge': '正确', 'score': '1分', 'analysis': '动力乘以动力臂等于阻力乘以阻力臂。'}, '8': {'judge': '正确', 'score': '1分', 'analysis': '动力乘以动力臂等于阻力乘以阻力臂。'}, '9': {'judge': '正确', 'score': '1分', 'analysis': '动力乘以动力臂等于阻力乘以阻力臂。'}, '10': {'judge': '正确', 'score': '1分', 'analysis': '动力乘以动力臂等于阻力乘以阻力臂。'}, '11': {'judge': '正确', 'score': '1分', 'analysis': '动力乘以动力臂等于阻力乘以阻力臂。'}, '12': {'judge': '正确', 'score': '1分', 'analysis': '动力乘以动力臂等于阻力乘以阻力臂。'}, '13': {'judge': '正确', 'score': '1分', 'analysis': '动力乘以动力臂等于阻力乘以阻力臂。'}}, 'scoreStrategy': {'score_point_1': {'score': '1分', 'instructions': '首次正确记录动力、动力臂、阻力、阻力臂数值于表格中得1分。', 'gap': [1, 2, 4, 5]}, 'score_point_2': {'score': '1分', 'instructions': '第二次正确记录动力、动力臂、阻力、阻力臂数值于表格中得1分。', 'gap': [7, 8, 10, 11]}, 'score_point_3': {'score': '1分', 'instructions': '分别计算动力×动力臂、阻力×阻力臂，计算结果正确并记录入表格中，得出正确结论得1分。', 'gap': [3, 6, 9, 12, 13]}}}	2022-07-01 14:36:21.979023	2022-07-01 14:36:21.987999	0:00:00.008976
{'examinationPaper': '物理试题12 探究浮力大小与物体排开液体体积的关系', 'answerDict': {'1': '1.4', '2': '1', '3': '0.6', '4': '0.4', '5': '0.8', '6': '大'}}	物理试题12 探究浮力大小与物体排开液体体积的关系	{'examinationPaper': '物理试题12 探究浮力大小与物体排开液体体积的关系', 'answerDict': {'1': 1.4, '2': 1.0, '3': 0.6, '4': 0.4, '5': 0.8, '6': '大'}, 'result': {'1': {'judge': '正确', 'score': '1分', 'analysis': '在同种液体中，物体排开液体体积越大，所受浮力越大。'}, '2': {'judge': '正确', 'score': '1分', 'analysis': '在同种液体中，物体排开液体体积越大，所受浮力越大。'}, '3': {'judge': '正确', 'score': '1分', 'analysis': '在同种液体中，物体排开液体体积越大，所受浮力越大。'}, '4': {'judge': '正确', 'score': '1分', 'analysis': '在同种液体中，物体排开液体体积越大，所受浮力越大。'}, '5': {'judge': '正确', 'score': '1分', 'analysis': '在同种液体中，物体排开液体体积越大，所受浮力越大。'}, '6': {'judge': '正确', 'score': '1分', 'analysis': '在同种液体中，物体排开液体体积越大，所受浮力越大。'}}, 'scoreStrategy': {'score_point_1': {'score': '1分', 'instructions': '用弹簧测力计测出物块所受重力，并正确记入表格中得1分。', 'gap': [1]}, 'score_point_2': {'score': '1分', 'instructions': '物块部分浸入水中时，读出弹簧测力计示数并正确记入表格中得1分。', 'gap': [2]}, 'score_point_3': {'score': '1分', 'instructions': '物块全部浸入水中时，读出弹簧测力计示数并正确记入表格中得1分。', 'gap': [3]}, 'score_point_4': {'score': '1分', 'instructions': '正确计算出物块部分浸入水中所受的浮力并记入表格中得1分。', 'gap': [4]}, 'score_point_5': {'score': '1分', 'instructions': '正确计算出物块全部浸入水中所受的浮力并记入表格中得1分。', 'gap': [5]}, 'score_point_6': {'score': '1分', 'instructions': '得出正确结论得1分。', 'gap': [6]}}}	2022-07-01 14:36:21.987999	2022-07-01 14:36:22.433340	0:00:00.445341
